"site","chamber","collect_date","pwsw","inout","location","temp.degC ","cond.mscm ","salinity","ph","cust_sample_id","ALKA.mgL ","CL.mglCaCO3","DOC.mgL","LPH","NH4.mgL","NOX","SO4.mgl","TDN.mgl","trt","mean.salinity","srp.um.l","tdp.um.l","srp.ppb","tdp.ppb","deepsulfide.mm","shallowsulfide.mm","datesulfide"
"FW",6,2015-01-15,"PW","out","FW-P-6",22.025,0.566,0.275,6.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-01-15,"PW","out","FW-P-8",21.12,0.522,0.255,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-01-15,"PW","out","FW-P-9",21.415,0.607,0.295,6.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-01-15,"PW","out","FW-P-10",21.39,0.631,0.305,6.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",11,2015-01-15,"PW","out","FW-P-11",30.16,2.396,1.225,6.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-01-15,"PW","out","FW-P-12",26.82,1.649,0.83,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-01-15,"PW","out","FW-P-13",24.88,3.322,1.74,6.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-01-15,"PW","out","FW-P-14",26.305,1.679,0.865,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-01-15,"PW","out","FW-P-15",23.845,1.81,0.92,6.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-01-15,"PW","out","FW-P-16",23.465,2.679,1.385,6.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-02-12,"PW","out","FW-P-2",23.945,0.637,0.31,6.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-02-12,"PW","out","FW-P-3",23.215,0.641,0.31,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-02-12,"PW","out","FW-P-6",24.935,0.657,0.28,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-02-12,"PW","out","FW-P-8",25.855,0.608,0.295,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-02-12,"PW","out","FW-P-9",25.605,0.71,0.34,7.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-02-12,"PW","out","FW-P-10",23.58,0.712,0.345,6.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",11,2015-02-12,"PW","out","FW-P-11",24.545,1.619,0.82,6.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-02-12,"PW","out","FW-P-12",24.14,1.397,0.7,6.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-02-12,"PW","out","FW-P-13",24.625,1.599,0.805,6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-02-12,"PW","out","FW-P-14",25.865,1.668,0.84,7.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-02-12,"PW","out","FW-P-15",23.675,1.307,0.655,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-02-12,"PW","out","FW-P-16",24.44,2.103,1.075,6.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-03-19,"PW","out","FW-P-2",26.095,0.651,0.315,6.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-03-19,"PW","out","FW-P-3",29.815,0.638,0.31,6.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-03-19,"PW","out","FW-P-6",31.35,0.673,0.32,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-03-19,"PW","out","FW-P-8",30.89,0.675,0.32,6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-03-19,"PW","out","FW-P-9",28.96,0.725,0.35,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-03-19,"PW","out","FW-P-10",33.81,0.74,0.355,6.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",11,2015-03-19,"PW","out","FW-P-11",37.1,2.697,1.37,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-03-19,"PW","out","FW-P-12",34.435,1.406,0.69,6.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-03-19,"PW","out","FW-P-13",29.675,3.017,1.565,6.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-03-19,"PW","out","FW-P-14",29.935,2.509,1.28,7.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-03-19,"PW","out","FW-P-15",32.68,1.61,0.815,6.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-03-19,"PW","out","FW-P-16",30.335,2.183,1.11,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-05-14,"PW","out","FW-P-2",29.745,0.724,0.35,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-05-14,"PW","out","FW-P-3",30.09,0.639,0.31,7.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-05-14,"PW","out","FW-P-6",31.67,0.701,0.34,7.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-05-14,"PW","out","FW-P-8",29.625,0.73,0.355,6.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-05-14,"PW","out","FW-P-9",29.235,0.685,0.33,7.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-05-14,"PW","out","FW-P-10",29.045,0.762,0.37,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-05-14,"PW","out","FW-P-12",30.935,4.309,2.285,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-05-14,"PW","out","FW-P-13",29.33,5.598,3.01,6.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-05-14,"PW","out","FW-P-14",30.55,5.303,2.835,6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-05-14,"PW","out","FW-P-15",25.6,2.496,1.28,6.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-05-14,"PW","out","FW-P-16",30.2,3.544,1.845,6.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-06-18,"PW","out","FW-P-2",31.675,0.858,0.415,6.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-06-18,"PW","out","FW-P-3",30.765,0.791,0.385,6.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-06-18,"PW","out","FW-P-6",32.59,0.793,0.38,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-06-18,"PW","out","FW-P-8",32.575,0.721,0.34,6.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-06-18,"PW","out","FW-P-9",34.23,1.172,0.57,7.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-06-18,"PW","out","FW-P-10",35.665,1.309,0.65,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",11,2015-06-18,"PW","out","FW-P-11",34.1,1.672,1.645,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-06-18,"PW","out","FW-P-12",31.09,3.918,2.06,6.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-06-18,"PW","out","FW-P-13",33.525,5.024,2.63,6.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-06-18,"PW","out","FW-P-14",31.895,3.868,2.02,6.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-06-18,"PW","out","FW-P-15",32.07,2.199,1.11,6.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-06-18,"PW","out","FW-P-16",35.04,3.501,1.715,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-07-16,"PW","out","FW-P-2",27.795,0.79,0.385,6.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-07-16,"PW","out","FW-P-3",29.445,0.758,0.37,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-07-16,"PW","out","FW-P-6",30.265,0.882,0.43,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-07-16,"PW","out","FW-P-8",30.51,0.812,0.395,6.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-07-16,"PW","out","FW-P-9",31.02,0.928,0.45,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-07-16,"PW","out","FW-P-10",30.37,1.238,0.61,6.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",11,2015-07-16,"PW","out","FW-P-11",33.345,3.22,1.655,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-07-16,"PW","out","FW-P-12",28.13,2.94,1.53,6.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-07-16,"PW","out","FW-P-13",29.985,4.493,2.38,6.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-07-16,"PW","out","FW-P-14",29.595,5.055,2.695,6.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-07-16,"PW","out","FW-P-15",30.725,2.561,1.305,6.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-07-16,"PW","out","FW-P-16",29.33,3.4,1.77,6.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-08-20,"PW","out","FW-P-2",29.245,0.71,0.34,6.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-08-20,"PW","out","FW-P-3",29.76,0.589,0.28,6.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-08-20,"PW","out","FW-P-6",32.1,0.758,0.365,6.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-08-20,"PW","out","FW-P-8",31.475,0.512,0.24,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-08-20,"PW","out","FW-P-9",34.28,0.598,0.28,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-08-20,"PW","out","FW-P-10",32.52,1.092,0.53,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-08-20,"PW","out","FW-P-13",34.41,3.498,1.81,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-08-20,"PW","out","FW-P-14",29.64,2.319,1.18,6.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-08-20,"PW","out","FW-P-15",30.84,1.449,0.72,6.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-08-20,"PW","out","FW-P-16",29.98,2.044,1.03,6.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-09-17,"PW","out","FW-P-2",24.35,0.399,0.19,7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-09-17,"PW","out","FW-P-3",23.74,0.384,0.18,7.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-09-17,"PW","out","FW-P-6",24.25,0.364,0.17,6.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-09-17,"PW","out","FW-P-8",23.88,0.346,0.16,7.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",11,2015-09-17,"PW","out","FW-P-11",23.85,2.22,1.14,7.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-09-17,"PW","out","FW-P-12",24.85,2.695,1.39,6.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-09-17,"PW","out","FW-P-13",24.8,5.234,2.81,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-09-17,"PW","out","FW-P-14",25.88,3.724,1.96,6.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-09-17,"PW","out","FW-P-16",24.9,1.7,0.86,7.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-10-22,"PW","out","FW-P-2",31.25,0.475,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-10-22,"PW","out","FW-P-3",34.115,0.43,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-10-22,"PW","out","FW-P-6",34.575,0.456,0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-10-22,"PW","out","FW-P-8",29.46,0.472,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-10-22,"PW","out","FW-P-9",32.575,0.464,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-10-22,"PW","out","FW-P-10",30.215,0.587,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",11,2015-10-22,"PW","out","FW-P-11",28.93,1.438,0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-10-22,"PW","out","FW-P-12",31.2,1.373,0.68,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-10-22,"PW","out","FW-P-13",30.19,1.853,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-10-22,"PW","out","FW-P-14",32.26,3.179,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-10-22,"PW","out","FW-P-15",31.87,1.306,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-10-22,"PW","out","FW-P-16",30.075,1.381,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-11-19,"PW","out","FW-P-2",29.77,0.488,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-11-19,"PW","out","FW-P-3",28.55,0.452,0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-11-19,"PW","out","FW-P-6",29,0.544,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-11-19,"PW","out","FW-P-8",28.12,0.407,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-11-19,"PW","out","FW-P-9",31.18,0.495,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-11-19,"PW","out","FW-P-10",30.045,0.684,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",11,2015-11-19,"PW","out","FW-P-11",30.645,2.154,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-11-19,"PW","out","FW-P-12",30.015,2.768,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-11-19,"PW","out","FW-P-13",28.065,3.013,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-11-19,"PW","out","FW-P-14",29.695,3.112,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-11-19,"PW","out","FW-P-15",28.845,2.05,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-11-19,"PW","out","FW-P-16",28.565,1.839,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",2,2015-12-17,"PW","out","FW-P-2",29.795,0.374,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",3,2015-12-17,"PW","out","FW-P-3",29.53,0.364,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",6,2015-12-17,"PW","out","FW-P-6",29.265,0.704,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",8,2015-12-17,"PW","out","FW-P-8",30.42,0.81,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",9,2015-12-17,"PW","out","FW-P-9",29.16,0.312,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",10,2015-12-17,"PW","out","FW-P-10",30.045,0.602,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA
"FW",11,2015-12-17,"PW","out","FW-P-11",28.72,1.251,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",12,2015-12-17,"PW","out","FW-P-12",27.78,3.6,1.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",13,2015-12-17,"PW","out","FW-P-13",28.095,2.582,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",14,2015-12-17,"PW","out","FW-P-14",28.94,5.094,2.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",15,2015-12-17,"PW","out","FW-P-15",27.87,1.548,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"FW",16,2015-12-17,"PW","out","FW-P-16",28.155,2.119,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treatment",NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2014-12-17,"SW",NA,"BW-S-199",20.53,0.546,0.26,NA,"P75912-23",199,129,10,8.25,0.142,NA,10,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-01-14,"SW",NA,"BW-S-199",15.69,0.562,0.27,7.36,"P76816-16_P76816-17",197,58.3,9.8,8.015,0.094,0.0145,1.6,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-02-11,"SW",NA,"BW-S-199",20.05,0.566,0.27,8.32,"P76949-16",191,53,10.4,8.23,0.061,NA,3.2,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-02-12,"SW",NA,"FW-S-199",NA,NA,NA,NA,"P76949-17",186,57.2,11.4,8.13,0.089,0.184,9.4,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-03-18,"SW",NA,"BW-S-199",NA,NA,NA,NA,"P77338-13_P77338-14",205.5,61.5,16.55,7.945,0.0605,NA,4.6,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-03-19,"SW",NA,"FW-S-199",NA,NA,NA,NA,"P77337-13_P77337-14",208,64.45,14.55,8.085,0.076,NA,4.9,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-04-15,"SW",NA,"BW-S-199",19.75,0.791,0.39,7.955,"P77867-13_P77867-14",224.5,94.55,69.95,8.06,0.068,NA,15.15,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-05-13,"SW",NA,"BW-S-199",30.85,1.089,0.53,8.46,"P77339-16_P77339-17",NA,NA,15.65,NA,0.036,NA,NA,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-05-14,"SW",NA,"FW-S-199",NA,NA,NA,NA,"P77336-16_P77336-17",205.5,67.35,13.2,205.805,0.013,NA,3.95,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-06-17,"SW",NA,"BW-S-199",23.35,0.995,0.49,7.92,"P78701-16_P78701-17",197,142,12.35,7.93,0.05,NA,17.2,0.8865,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-07-15,"SW",NA,"BW-S-199",28.78,0.621,0.3,7.585,"P79074-13_P79074-14",216.5,64.2,29.9,8.05,0.0165,NA,3.2,0.737,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-199",NA,2015-08-19,"SW",NA,"BW-S-199",27.705,0.764,0.37,8.32,"P79073-16_P79073-17",195.5,56.7,13.05,7.885,0.0225,NA,2.2,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA
